"date","divis_price","laurus_price","pharma_index","divis_reb","laurus_reb","cdmo_basket","pharma_reb","relative"
"2016-12","700.099975585938","94.9499969482422","10236.349609375","100","100","100","100","100"
"2017-01","758.849975585938","101.98999786377","10585.150390625","108.39","107.41","107.9","103.41","104.35"
"2017-02","623.849975585938","103.23999786377","10411.150390625","89.11","108.73","98.92","101.71","97.26"
"2017-03","628.400024414063","103.980003356934","10120.900390625","89.76","109.51","99.63","98.87","100.77"
"2017-04","582.150024414063","114.5","9025.25","83.15","120.59","101.87","88.17","115.54"
"2017-05","647.25","123.029998779297","9606.400390625","92.45","129.57","111.01","93.85","118.29"
"2017-06","672.900024414063","116.139999389648","9476.400390625","96.11","122.32","109.22","92.58","117.97"
"2017-07","696.400024414063","105.470001220703","8859.650390625","99.47","111.08","105.28","86.55","121.63"
"2017-08","855.75","101.430000305176","9172.599609375","122.23","106.82","114.53","89.61","127.81"
"2017-09","882.5","107.680000305176","9756","126.05","113.41","119.73","95.31","125.63"
"2017-10","1041","105.080001831055","9238.75","148.69","110.67","129.68","90.25","143.68"
"2017-11","1098.34997558594","108.580001831055","9620.099609375","156.88","114.35","135.62","93.98","144.31"
"2017-12","1039.40002441406","103.319999694824","9384.75","148.46","108.82","128.64","91.68","140.31"
"2018-01","1025.90002441406","108.709999084473","8960.25","146.54","114.49","130.51","87.53","149.1"
"2018-02","1090.19995117188","100.569999694824","8358.0498046875","155.72","105.92","130.82","81.65","160.22"
"2018-03","1197.5","102.26000213623","9060.7001953125","171.05","107.7","139.37","88.51","157.46"
"2018-04","1047.44995117188","94.3899993896484","8220.25","149.61","99.41","124.51","80.3","155.05"
"2018-05","1038.59997558594","92.379997253418","9173.150390625","148.35","97.29","122.82","89.61","137.06"
"2018-06","1149.44995117188","90.9400024414062","9179.400390625","164.18","95.78","129.98","89.67","144.95"
"2018-07","1305.90002441406","87.6900024414063","10390.9501953125","186.53","92.35","139.44","101.51","137.37"
"2018-08","1310.90002441406","86.5400009155273","9972.4501953125","187.24","91.14","139.19","97.42","142.88"
"2018-09","1484.5","68.1699981689453","9757.5","212.04","71.8","141.92","95.32","148.88"
"2018-10","1439.34997558594","76.8000030517578","9275.7001953125","205.59","80.88","143.24","90.62","158.07"
"2018-11","1482.65002441406","75.9100036621094","8868.7001953125","211.78","79.95","145.86","86.64","168.36"
"2018-12","1506.19995117188","74.0599975585938","8825.349609375","215.14","78","146.57","86.22","170"
"2019-01","1654.25","66.6900024414063","8884.849609375","236.29","70.24","153.26","86.8","176.58"
"2019-02","1703.09997558594","79.9100036621094","9346.5498046875","243.27","84.16","163.71","91.31","179.3"
"2019-03","1746.84997558594","76.4599990844727","9402.5","249.51","80.53","165.02","91.85","179.66"
"2019-04","1592.30004882813","72.1100006103516","8455.099609375","227.44","75.95","151.69","82.6","183.65"
"2019-05","1596.94995117188","67.3399963378906","8065.14990234375","228.1","70.92","149.51","78.79","189.76"
"2019-06","1633.75","67.1800003051758","7987.5","233.36","70.75","152.06","78.03","194.87"
"2019-07","1625.40002441406","65.75","8072.0498046875","232.17","69.25","150.71","78.86","191.11"
"2019-08","1665.5","74.870002746582","7547.75","237.89","78.85","158.37","73.73","214.79"
"2019-09","1755.05004882813","73.9599990844727","7878.14990234375","250.69","77.89","164.29","76.96","213.47"
"2019-10","1786.19995117188","70.0500030517578","8189.9501953125","255.13","73.78","164.46","80.01","205.55"
