,stock,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
INE00FF01025,Acutaas Chemicals Ltd,41175.0,46821.0,57521.0,57521.0,57521.0,57521.0,57521.0,57521.0,57521.0,57521.0
INE03Q201024,Alivus Life Sciences Ltd,81380.0,98735.0,98735.0,98735.0,98735.0,98735.0,98735.0,98735.0,98735.0,126517.0
INE061F01013,Fortis Healthcare Ltd,,,,,,50000.0,50000.0,50000.0,50000.0,50000.0
INE065X01017,Indegene Ltd,139901.0,172105.0,172105.0,172105.0,172105.0,172105.0,172105.0,172105.0,172105.0,287105.0
INE075I01017,Healthcare Global Enterprises Ltd,99340.0,123534.0,123534.0,181234.0,224444.0,224444.0,274444.0,274444.0,274444.0,329044.0
INE0DK501011,Piramal Pharma Ltd,391672.0,517047.0,517047.0,517047.0,517047.0,517047.0,517047.0,517047.0,1265497.0,1265497.0
INE119201023,Park Medi World Ltd,,274988.0,274988.0,274988.0,460588.0,585588.0,585588.0,585588.0,585588.0,585588.0
INE159A01016,Glaxosmithkline Pharmaceuticals Ltd,,,,,,,,53476.0,82358.0,82358.0
INE338H01029,Concord Biotech Ltd,,,,,,,,,,104509.0
INE428V01029,Nephrocare Health Service Pvt. Ltd,,,,,,,,189586.0,258897.0,258897.0
INE572A01036,JB Chemicals & Pharmaceuticals Ltd,40930.0,50790.0,60190.0,60190.0,60190.0,60190.0,60190.0,80081.0,,
INE600L01024,Dr. Lal Path labs Ltd,15670.0,37940.0,37940.0,37940.0,37940.0,57740.0,87525.0,87525.0,113825.0,141525.0
INE685A01028,Torrent Pharmaceuticals Ltd,,,,,,,,,40841.0,40841.0
INE961O01016,Rainbow Children's Medicare Ltd,54170.0,67162.0,67162.0,67162.0,67162.0,83163.0,83163.0,83163.0,119313.0,119313.0
