,stock,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
INE00FF01025,Acutaas Chemicals Ltd,1.57,1.28,1.69,1.72,2.03,1.6,1.74,1.63,1.23,1.05
INE03Q201024,Alivus Life Sciences Ltd,1.52,1.46,1.45,1.25,1.32,1.1,1.0,0.92,0.79,1.02
INE061F01013,Fortis Healthcare Ltd,,,,,,0.49,0.45,0.39,0.32,0.26
INE065X01017,Indegene Ltd,1.54,1.44,1.27,1.18,1.03,0.92,0.87,0.73,0.61,1.01
INE075I01017,Healthcare Global Enterprises Ltd,1.5,1.32,1.12,1.44,1.62,1.38,1.69,1.38,1.27,1.39
INE0DK501011,Piramal Pharma Ltd,1.52,1.43,1.23,1.12,0.97,0.9,0.86,0.7,1.7,1.56
INE119201023,Park Medi World Ltd,,0.65,0.65,0.73,1.21,1.45,1.63,1.41,1.18,0.97
INE159A01016,Glaxosmithkline Pharmaceuticals Ltd,,,,,,,,1.05,1.5,1.45
INE338H01029,Concord Biotech Ltd,,,,,,,,,,0.87
INE428V01029,Nephrocare Health Service Pvt. Ltd,,,,,,,,1.03,1.21,1.02
INE572A01036,JB Chemicals & Pharmaceuticals Ltd,1.5,1.49,1.72,1.71,1.71,1.32,1.26,1.48,,
INE600L01024,Dr. Lal Path labs Ltd,0.99,0.91,0.82,0.73,0.69,0.85,1.36,1.16,1.49,1.58
INE685A01028,Torrent Pharmaceuticals Ltd,,,,,,,,,1.44,1.19
INE961O01016,Rainbow Children's Medicare Ltd,1.52,1.43,1.17,1.11,1.08,1.12,1.11,0.95,1.25,0.97
