"key","scheme_code","scheme_name","n_daily_points","start_date","end_date","approx_months"
"quant_flexi","120843","Quant Flexi Cap Fund - Direct Plan - Growth Option","3374","2013-01-07","2026-09-11","164"
"quant_small","120828","Quant Small Cap Fund - Direct Plan - Growth Option","3370","2013-01-07","2026-09-11","164"
"invesco_mid","120403","Invesco India Mid Cap Fund - Direct Plan - Growth","3371","2013-01-02","2026-09-11","164"
"nippon_small","118778","Nippon India Small Cap Fund - Direct Plan - Growth Option","3370","2013-01-02","2026-09-11","164"
"quant_multi","120821","Quant Multi Asset Allocation Fund - Direct Plan - Growth Option","3368","2013-01-07","2026-09-11","164"
"trustmf_small","152939","TRUSTMF SMALL CAP FUND - Direct Plan - Growth","459","2024-11-05","2026-09-11","22"
"abakkus_small","154215","Abakkus Small Cap Fund - Direct Plan - Growth","120","2026-03-20","2026-09-11","6"
"helios_small","153912","Helios Small Cap Fund - Direct Plan - Growth","196","2025-11-28","2026-09-11","10"
"invesco_small","145137","Invesco India Small Cap Fund - Direct Plan - Growth","1936","2018-11-02","2026-09-11","94"
"bandhan_small","147946","BANDHAN Small Cap Fund - Direct Plan - Growth","1623","2020-02-26","2026-09-11","79"
"boi_small","145678","BANK OF INDIA SMALL CAP FUND - Direct Plan - Growth","1901","2018-12-27","2026-09-11","93"
"iti_small","147919","ITI Small Cap Fund - Direct Plan - Growth Option","1618","2020-02-19","2026-09-11","79"
