fund,stock,first_seen,months_held,initial_qty,latest_qty,qty_change_since_entry_pct,still_held,added_in,trimmed_in,qty_change_pct
Helios Small Cap,Acutaas Chemicals Ltd,2025-11,10,41175.0,57521,39.7,True,2025-12 +14%; 2026-01 +23%,-,
Helios Small Cap,Alivus Life Sciences Ltd,2025-11,10,81380.0,126517,55.5,True,2025-12 +21%; 2026-08 +28%,-,
Helios Small Cap,Dr. Lal Path labs Ltd,2025-11,10,15670.0,141525,803.2,True,2025-12 +142%; 2026-04 +52%; 2026-05 +52%; 2026-07 +30%; 2026-08 +24%,-,
Helios Small Cap,Healthcare Global Enterprises Ltd,2025-11,10,99340.0,329044,231.2,True,2025-12 +24%; 2026-02 +47%; 2026-03 +24%; 2026-05 +22%; 2026-08 +20%,-,
Helios Small Cap,Indegene Ltd,2025-11,10,139901.0,287105,105.2,True,2025-12 +23%; 2026-08 +67%,-,
Helios Small Cap,JB Chemicals & Pharmaceuticals Ltd,2025-11,8,40930.0,0,,False,2025-12 +24%; 2026-01 +19%; 2026-06 +33%,-,
Helios Small Cap,Piramal Pharma Ltd,2025-11,10,391672.0,1265497,223.1,True,2025-12 +32%; 2026-07 +145%,-,
Helios Small Cap,Rainbow Children's Medicare Ltd,2025-11,10,54170.0,119313,120.3,True,2025-12 +24%; 2026-04 +24%; 2026-07 +43%,-,
Helios Small Cap,Park Medi World Ltd,2025-12,9,274988.0,585588,113.0,True,2026-03 +67%; 2026-04 +27%,-,
Helios Small Cap,Fortis Healthcare Ltd,2026-04,5,50000.0,50000,0.0,True,-,-,
Helios Small Cap,Glaxosmithkline Pharmaceuticals Ltd,2026-06,3,53476.0,82358,54.0,True,2026-07 +54%,-,
Helios Small Cap,Nephrocare Health Service Pvt. Ltd,2026-06,3,189586.0,258897,36.6,True,2026-07 +37%,-,
Helios Small Cap,Torrent Pharmaceuticals Ltd,2026-07,2,40841.0,40841,0.0,True,-,-,
Helios Small Cap,Concord Biotech Ltd,2026-08,1,104509.0,104509,0.0,True,-,-,
Abakkus Small Cap,Alembic Pharmaceuticals Limited,2026-03,5,105701.0,494304,,True,2026-05 +89%; 2026-06 +52%; 2026-07 +20%; 2026-08 +36%,-,367.6
