"symbol","name","price","prevClose","currency","asOf"
"LAURUSLABS.NS","Laurus Labs Limited","1876.7","1861.6","INR","2026-09-07 15:14"
"SAILIFE.NS","Sai Life Sciences Limited","1579.6","1518.1","INR","2026-09-07 15:30"
"ASTERDM.NS","Aster DM Quality Care Limited","795.65","757.8","INR","2026-09-07 15:30"
"SENORES.NS","Senores Pharmaceuticals Limited","1497.5","1454.7","INR","2026-09-07 15:29"
"GRANULES.NS","Granules India Limited","867.3","837.2","INR","2026-09-07 15:30"
"NEULANDLAB.NS","Neuland Laboratories Limited","22870.0","23025.0","INR","2026-09-07 15:29"
"RUBICON.NS","Rubicon Research Limited","1748.4","1822.2","INR","2026-09-07 15:30"
"AMIORG.NS","LOOKUP FAILED",,,,
"KIMS.NS","Krishna Institute of Medical Sciences Limited","764.55","758.4","INR","2026-09-07 15:29"
"LALPATHLAB.NS","Dr. Lal PathLabs Limited","1901.9","1904.4","INR","2026-09-07 15:29"
"RAINBOW.NS","Rainbow Children's Medicare Limited","1469.9","1446.4","INR","2026-09-07 15:29"
"JUBLPHARMA.NS","Jubilant Pharmova Limited","950.3","907.6","INR","2026-09-07 15:30"
"DIVISLAB.NS","Divi's Laboratories Limited","9315.0","9165.0","INR","2026-09-07 15:15"
"SANOFI.NS","Sanofi India Limited","3122.0","3155.0","INR","2026-09-07 15:29"
"SANOFICONR.NS","Sanofi Consumer Healthcare India Limited","4106.0","4137.8","INR","2026-09-07 15:29"
"APLLTD.NS","Alembic Pharmaceuticals Limited","799.55","843.85","INR","2026-09-07 15:29"
"AETHER.NS","Aether Industries Limited","1619.5","1683.7","INR","2026-09-07 15:29"
"PPLPHARMA.NS","Piramal Pharma Limited","219.66","213.2","INR","2026-09-07 15:30"
"GLAXO.NS","GlaxoSmithKline Pharmaceuticals Limited","2957.8","2996.1","INR","2026-09-07 15:30"
"TORNTPHARM.NS","Torrent Pharmaceuticals Limited","4914.0","4965.5","INR","2026-09-07 15:15"
"HCG.NS","HealthCare Global Enterprises Limited","687.9","704.4","INR","2026-09-07 15:29"
"NEPHROCARE.NS","Nephro Care India Limited","234.8","100.7","INR","2024-07-24 01:30"
"PARKMEDI.NS","LOOKUP FAILED",,,,
"GLS.NS","LOOKUP FAILED",,,,
"INDGN.NS","Indegene Limited","599.35","605.4","INR","2026-09-07 15:30"
"FORTIS.NS","Fortis Healthcare Limited","910.0","915.0","INR","2026-09-07 15:15"
