stock,first_seen,months_held,latest_qty,qty_change_pct,still_held,added_in,trimmed_in
Ami Organics Limited,2024-11,5,0,,False,2025-01 +26%; 2025-02 +24%; 2025-03 +20%,-
Artemis Medicare Services Limited,2024-11,4,0,,False,2025-01 +23%,-
Aster DM Quality Care Limited,2024-11,21,549972,142.1,True,2025-01 +36%; 2025-02 +105%; 2025-07 +48%; 2026-02 +15%,2024-12 -31%; 2025-03 -21%; 2025-05 -25%
Cohance Lifesciences Limited,2024-11,7,0,,False,2024-12 +26%; 2025-01 +35%; 2025-02 +113%,2025-03 -15%
Marksans Pharma Limited,2024-11,5,0,,False,2024-12 +40%; 2025-02 +69%; 2025-03 +19%,2025-01 -23%
Piramal Pharma Limited,2024-11,3,0,,False,2025-01 +95%,2024-12 -14%
Poly Medicure Limited,2024-11,1,0,,False,-,-
Rainbow Childrens Medicare Limited,2024-11,4,0,,False,2025-01 +15%,-
Strides Pharma Science Limited,2024-11,2,0,,False,-,-
Vijaya Diagnostic Centre Limited,2024-11,6,0,,False,2025-02 +48%,2025-03 -17%; 2025-04 -15%
Wockhardt Limited,2024-11,6,0,,False,-,2025-09 -50%
Krishna Institute Of Medical Sciences ,2024-12,19,304968,359.5,True,2025-01 +154%; 2025-02 +93%; 2025-06 +16%; 2025-07 +91%,2025-03 -46%; 2025-05 -24%; 2025-11 -31%
Onesource Specialty Pharma Limited,2024-12,10,0,,False,2025-01 +32%; 2025-08 +32%; 2026-05 +147%,2025-09 -14%
Yatharth Hospital & Trauma Care Servic,2024-12,1,0,,False,-,-
Innova Captab Limited,2025-01,2,0,,False,-,-
Laxmi Dental Limited,2025-01,8,0,,False,2025-02 +22%; 2025-03 +64%; 2025-07 +30%,2025-08 -24%
Blue Jet Healthcare Limited,2025-02,6,0,,False,-,2025-07 -56%
Acutaas Chemicals Limited,2025-04,16,85755,-31.7,True,2025-07 +20%; 2026-01 +33%,2025-12 -10%; 2026-03 -19%; 2026-04 -18%
Eris Lifesciences Limited,2025-05,10,0,,False,2025-06 +55%,2025-08 -13%; 2026-01 -10%; 2026-02 -44%
Laurus Labs Limited,2025-06,14,427970,145.7,True,2025-07 +31%; 2025-11 +50%; 2025-12 +13%; 2026-02 +25%,2025-09 -16%; 2026-01 -28%
Glenmark Pharmaceuticals Limited,2025-07,4,0,,False,-,2025-09 -12%
Sai Life Sciences Limited,2025-08,12,347720,202.9,True,2025-12 +104%; 2026-02 +50%; 2026-03 +32%; 2026-05 +25%,2025-09 -38%
Healthcare Global Enterprises Limited,2025-09,9,0,,False,2025-10 +84%; 2026-01 +42%; 2026-03 +21%,-
Neuland Laboratories Limited,2025-09,11,17094,114.2,True,2025-10 +16%; 2025-11 +25%; 2026-05 +76%,2026-01 -16%
Narayana Hrudayalaya Limited,2025-12,5,0,,False,2026-02 +23%,-
Ajanta Pharma Limited,2026-03,1,0,,False,-,-
JB Chemicals & Pharmaceuticals Limited,2026-03,3,0,,False,2026-05 +20%,2026-04 -22%
Rubicon Research Limited,2026-04,4,207308,32.4,True,2026-05 +36%; 2026-06 +19%,2026-07 -18%
Senores Pharmaceuticals Limited,2026-05,3,303352,71.6,True,2026-06 +72%,-
Granules India Limited,2026-06,2,461572,43.8,True,2026-07 +44%,-
